Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
343,tsumeb,-19.2333,17.7167,297.68,62.0,77.0,3.01,
344,bousso,10.4795,16.7117,312.58,8.0,22.0,3.9,TD
345,lewistown,40.5992,-77.5714,271.15,93.0,90.0,1.56,US
346,atoyac,20.0167,-103.5333,277.15,87.0,1.0,1.54,MX
347,bud,39.446999999999996,-86.1758,262.59,89.0,100.0,5.39,US
348,tekirdag,40.978,27.5085,274.15,69.0,75.0,9.77,TR
349,khani,41.9563,42.9566,282.15,87.0,90.0,4.63,GE
350,greencastle,39.6445,-86.8647,262.59,85.0,90.0,5.14,US
351,idrinskoye,54.3708,92.1358,265.91,96.0,100.0,0.93,RU
352,tangzhai,34.4328,116.5911,280.93,61.0,100.0,2.53,CN
353,buraydah,26.326,43.975,303.15,21.0,75.0,4.12,SA
354,marcona,,,,,,,
355,alugan,12.2188,125.4808,299.19,81.0,90.0,6.73,PH
356,caravelas,-17.7125,-39.2481,301.25,66.0,81.0,3.17,BR
357,magadan,59.5667,150.8,252.57,80.0,98.0,2.91,RU
358,mana,5.6592,-53.7767,299.13,75.0,97.0,6.74,GF
359,obernai,48.4631,7.481,275.37,64.0,0.0,3.09,FR
360,algiers,36.7525,3.042,288.15,51.0,20.0,3.09,DZ
361,shingu,33.7333,135.9833,285.08,62.0,1.0,8.91,JP
362,naurskaya,43.6519,45.3133,272.15,100.0,90.0,6.0,RU
363,amur,54.0,128.0,248.12,90.0,100.0,2.0,RU
364,wahiawa,21.5028,-158.0236,294.82,100.0,20.0,0.97,US
365,belushya guba,,,,,,,
366,banes,20.9625,-75.7186,295.15,56.0,20.0,3.09,CU
367,chara,56.9064,118.2631,246.21,79.0,100.0,1.18,RU
368,peniche,39.3558,-9.3811,290.37,63.0,95.0,5.36,PT
369,koshurnikovo,54.1667,93.3,266.58,99.0,100.0,1.17,RU
370,cedar city,37.6775,-113.0619,269.15,74.0,90.0,1.54,US
371,grand river south east,,,,,,,
372,college,64.8569,-147.8028,242.15,69.0,1.0,0.71,US
373,mackay,-21.15,149.2,299.15,83.0,90.0,5.66,AU
374,mareeba,-17.0,145.4333,299.26,94.0,75.0,2.17,AU
375,beringovskiy,63.05,179.3167,252.66,88.0,92.0,7.9,RU
376,susehri,40.1644,38.0867,283.43,50.0,38.0,4.06,TR
377,nanortalik,60.1432,-45.2371,266.83,88.0,0.0,7.37,GL
378,thinadhoo,0.5333,72.9333,301.33,75.0,33.0,3.99,MV
379,sistranda,63.7256,8.834,272.15,64.0,0.0,6.69,NO
380,cabo rojo,18.0866,-67.1457,299.26,77.0,0.0,0.45,PR
381,mtwara,-10.2667,40.1833,302.15,84.0,75.0,9.77,TZ
382,kudahuvadhoo,2.6708,72.8944,300.77,77.0,94.0,6.07,MV
383,puri,19.8,85.85,304.15,35.0,0.0,5.75,IN
384,manggar,-2.8833,108.2667,299.38,78.0,85.0,5.32,ID
385,lodja,-3.4833,23.4333,311.31,33.0,49.0,0.51,CD
386,srednekolymsk,67.45,153.6833,244.62,86.0,92.0,1.57,RU
387,walvis bay,-22.9575,14.5053,295.58,61.0,46.0,5.74,
388,san antero,9.3741,-75.7589,298.91,86.0,81.0,1.81,CO
389,darnah,32.766999999999996,22.6367,284.41,61.0,62.0,9.75,LY
390,mendi,-6.1761,143.6513,286.71,98.0,100.0,1.42,PG
391,ponta delgada,37.7333,-25.6667,287.59,54.0,20.0,8.75,PT
392,vaitupu,,,,,,,
393,samusu,,,,,,,
394,mandal,25.45,74.5667,301.56,15.0,64.0,3.25,IN
